Cost Code Tier 1,Cost Code Tier 2,Cost Type,Budget Code,Budget Code Description,Original Budget Amount (A),Notes
00 - General Requirements,00-0010-10000- - Temporary Construction Requirements,O - Other Direct Costs,00-0010-10000-.O,Temporary Construction Requirements,57630,
00 - General Requirements,00-0020-10000- - Equipment,O - Other Direct Costs,00-0020-10000-.O,Equipment,58000,
00 - General Requirements,00-0021-10000- - Waste Management & Cleaning Requirements,O - Other Direct Costs,00-0021-10000-.O,Waste Management & Cleaning Requirements,83545,
01 - General Conditions,01-0001-10000- - General Conditions,O - Other Direct Costs,01-0001-10000-.O,General Conditions,0,
01 - General Conditions,01-2004-10000- - Project Manager,L - Direct Labor,01-2004-10000-.L,Project Manager,138174,
01 - General Conditions,01-2006-10000- - Project Engineer,L - Direct Labor,01-2006-10000-.L,Project Engineer,270600,
01 - General Conditions,01-2009-10000- - Project Superintendent,L - Direct Labor,01-2009-10000-.L,Project Superintendent,276349,
01 - General Conditions,01-2010-10000- - Assistant Superintendent,L - Direct Labor,01-2010-10000-.L,Assistant Superintendent,0,
01 - General Conditions,01-2013-10000- - Project Coordination,L - Direct Labor,01-2013-10000-.L,Project Coordination,45358,
01 - General Conditions,01-2014-10000- - Certified Payroll Manager,L - Direct Labor,01-2014-10000-.L,Certified Payroll Manager,38326,
01 - General Conditions,01-2015-10000- - Project Accountant,L - Direct Labor,01-2015-10000-.L,Project Accountant,24483,
01 - General Conditions,01-2016-10000- - Contract Administrator,L - Direct Labor,01-2016-10000-.L,Contract Administrator,24483,
01 - General Conditions,01-2017-10000- - Contract Admin Assistant,L - Direct Labor,01-2017-10000-.L,Contract Admin Assistant,19329,
01 - General Conditions,01-2020-10000- - General Superintendent,L - Direct Labor,01-2020-10000-.L,General Superintendent,38124,
01 - General Conditions,01-2021-10000- - Project Director,L - Direct Labor,01-2021-10000-.L,Project Director,48708,
01 - General Conditions,01-2030-10000- - Vehicle Expenses,O - Other Direct Costs,01-2030-10000-.O,Vehicle Expenses,51313,
01 - General Conditions,"01-2160-10000- - Blueprinting, Schedule, As-Builts",O - Other Direct Costs,01-2160-10000-.O,"Blueprinting, Schedule, As-Builts",2521,
01 - General Conditions,01-2170-10000- - Photographs,O - Other Direct Costs,01-2170-10000-.O,Photographs,5819,
01 - General Conditions,01-2220-10000- - Room & Board,O - Other Direct Costs,01-2220-10000-.O,Room & Board,69339,
01 - General Conditions,01-2250-10000- - Moving / Relocation Expense,O - Other Direct Costs,01-2250-10000-.O,Moving / Relocation Expense,25214,
01 - General Conditions,01-2850-10000- - Textura Fee,O - Other Direct Costs,01-2850-10000-.O,Textura Fee,2400,
01 - General Conditions,01-5015-10000- - Trailer Mobilize/Demob,O - Other Direct Costs,01-5015-10000-.O,Trailer Mobilize/Demob,2000,
01 - General Conditions,01-5020-10000- - Trailer Rent,O - Other Direct Costs,01-5020-10000-.O,Trailer Rent,6983,
01 - General Conditions,01-5021-10000- - Trailer Equipment/Supplies,O - Other Direct Costs,01-5021-10000-.O,Trailer Equipment/Supplies,5043,
01 - General Conditions,01-5022-10000- - Jobsite Copy Machine,O - Other Direct Costs,01-5022-10000-.O,Jobsite Copy Machine ,5043,
01 - General Conditions,01-5023-10000- - Project Supply,O - Other Direct Costs,01-5023-10000-.O,Project Supply,5043,
01 - General Conditions,01-5024-10000- - Trailer Phone/Data,O - Other Direct Costs,01-5024-10000-.O,Trailer Phone/Data,6401,
01 - General Conditions,01-5120-10000- - Project Identification,O - Other Direct Costs,01-5120-10000-.O,Project Identification,1000,
01 - General Conditions,01-5160-10000- - Mobile/Cell Service,O - Other Direct Costs,01-5160-10000-.O,Mobile/Cell Service,5282,
01 - General Conditions,01-5240-10000- - Trailer Drinking Water,O - Other Direct Costs,01-5240-10000-.O,Trailer Drinking Water,2017,
01 - General Conditions,01-6000-10000- - LCP Tracker,O - Other Direct Costs,01-6000-10000-.O,LCP Tracker,2400,
01 - General Conditions,01-6002-10000- - Procore,O - Other Direct Costs,01-6002-10000-.O,Procore,13200,
01 - General Conditions,01-6003-10000- - Drone Deploy,O - Other Direct Costs,01-6003-10000-.O,Drone Deploy,2400,
01 - General Conditions,01-6070-10000- - Safety Equipment,O - Other Direct Costs,01-6070-10000-.O,Safety Equipment,5043,
01 - General Conditions,01-6075-10000- - Safety - Contract Service,O - Other Direct Costs,01-6075-10000-.O,Safety - Contract Service,3491,
02 - Existing Conditions,02-1010-10000- - Surveying/Staking,S - Subcontractor Costs,02-1010-10000-.S,Surveying/Staking,80768,
02 - Existing Conditions,02-1110-10000- - Abatement & Building Wrecking,S - Subcontractor Costs,02-1110-10000-.S,Abatement & Building Wrecking,741912,
03 - Concrete,03-1000-10000- - Concrete,S - Subcontractor Costs,03-1000-10000-.S,Concrete,1278460,
04 - Masonry,04-1000-10000- - Masonry,S - Subcontractor Costs,04-1000-10000-.S,Masonry,189449,
05 - Metals,05-1000-10000- - Structural Steel & Ornamental Metals,S - Subcontractor Costs,05-1000-10000-.S,Structural Steel & Ornamental Metals,166281,
07 - Thermal and Moisture Protection,07-1000-10000- - Moisture Protection & Sealants,S - Subcontractor Costs,07-1000-10000-.S,Moisture Protection & Sealants,15500,
07 - Thermal and Moisture Protection,"07-4100-10000- - Metal Roofing, Fascia, Soffit Panels",S - Subcontractor Costs,07-4100-10000-.S,"Metal Roofing, Fascia, Soffit Panels",142585,
08 - Openings,"08-1000-10000- - Doors, Frames, & Hardware",S - Subcontractor Costs,08-1000-10000-.S,"Doors, Frames, & Hardware",43186,
08 - Openings,08-3050-10000- - Overhead Coiling Doors,S - Subcontractor Costs,08-3050-10000-.S,Overhead Coiling Doors,31214,
09 - Finishes,"09-2000-10000- - Framing, Drywall & Painting",S - Subcontractor Costs,09-2000-10000-.S,"Framing, Drywall & Painting ",266211,
09 - Finishes,09-8100-10000- - Concrete Finishing,S - Subcontractor Costs,09-8100-10000-.S,Concrete Finishing,35993,
10 - Specialties,10-1020-10000- - Visual Display Boards,S - Subcontractor Costs,10-1020-10000-.S,Visual Display Boards,6696,
10 - Specialties,10-2020-10000- - Building & Fire Protection Accessories,S - Subcontractor Costs,10-2020-10000-.S,Building & Fire Protection Accessories,38852,
10 - Specialties,10-3050-10000- - Flagpole,S - Subcontractor Costs,10-3050-10000-.S,Flagpole,11597,
10 - Specialties,10-3070-10000- - Building Signage,S - Subcontractor Costs,10-3070-10000-.S,Building Signage,22450,
10 - Specialties,10-3120-10000- - Lockers,S - Subcontractor Costs,10-3120-10000-.S,Lockers,20566,
11 - Equipment,11-0080-10000- - Warming Kitchen Foodservice Equipment,S - Subcontractor Costs,11-0080-10000-.S,Warming Kitchen Foodservice Equipment,35950,
11 - Equipment,11-0101-10000- - Scoreboard,S - Subcontractor Costs,11-0101-10000-.S,Scoreboard,99483,
12 - Furnishings,12-7340-10000- - Bleachers & Press Box (Supply),S - Subcontractor Costs,12-7340-10000-.S,Bleachers & Press Box (Supply),400879,
12 - Furnishings,12-7400-10000- - Prefabricated Ticket Booth,S - Subcontractor Costs,12-7400-10000-.S,Prefabricated Ticket Booth,27019,
22 - Plumbing,22-1000-10000- - Plumbing Systems,S - Subcontractor Costs,22-1000-10000-.S,Plumbing Systems,428546,
23 - Heating Ventilation and Air Conditioning,23-8000-10000- - HVAC Systems,S - Subcontractor Costs,23-8000-10000-.S,HVAC Systems,265565,
26 - Electrical,26-1000-10000- - Electrical & Low Voltage Systems,S - Subcontractor Costs,26-1000-10000-.S,Electrical & Low Voltage Systems,1074541,
26 - Electrical,26-7000-10000- - Temporary Power & Lighting,S - Subcontractor Costs,26-7000-10000-.S,Temporary Power & Lighting,2550,
31 - Earthwork,"31-2000-10000- - Earthwork, Paving, Wet Utilities & Site Demo",S - Subcontractor Costs,31-2000-10000-.S,"Earthwork, Paving, Wet Utilities & Site Demo",1741321,
32 - Exterior Improvements,32-7100-10000- - Fencing & Gates,S - Subcontractor Costs,32-7100-10000-.S,Fencing & Gates,240789,
32 - Exterior Improvements,32-7600-10000- - Site Furnishings,O - Other Direct Costs,32-7600-10000-.O,Site Furnishings,17221,
